,,,,,
歌曲名,演唱,专辑,,,
我亲爱的,谭维维,亲爱的翻译官 电视剧原声带,,,
青衣谣,郁可唯,青云志 电视剧原声带,,,
青云志,吴俊余/李凯馨,青云志 电视剧原声带,,,
若只如初见,杨紫,青云志 电视剧原声带,,,
英雄有路,任贤齐,青云志 电视剧原声带,,,
就算没有如果,香香,三生三世十里桃花 电视剧原声带,,,
凉凉,杨宗纬/张碧晨,三生三世十里桃花 电视剧原声带,,,
三生三世,张杰,三生三世十里桃花 电视剧原声带,,,
思慕,郁可唯,三生三世十里桃花 电视剧原声带,,,
缘字书,苏诗丁,三生三世枕上书 电视剧原声带,,,
风之诺言,张翰,杉杉来了 电视剧原声带,,,
身不由己,何洁,杉杉来了 电视剧原声带,,,
悲喜楼,何晟铭,听雪楼 电视剧原声带,,,
黑马,于文文,我的真朋友 电视剧原声带,,,
爱与愿违,弦子,择天记 电视剧原声带,,,
故意,何洁/孙郡,择天记 电视剧原声带,,,
心不由己,郁可唯,择天记 电视剧原声带,,,
星辰,张杰,择天记 电视剧原声带,,,
注定,周笔畅/白举纲,择天记 电视剧原声带,,,
I see the Lights,张杰,重播之八,,,
飞,韩磊,重播之八,,,
风中芭蕾,郁可唯,重播之八,,,
探世界,王凯,重播之八,,,
外婆桥,江一燕,重播之八,,,
真相,张杰,重播之八,,,
承诺,袁姗姗,重播之二,,,
听,张杰,重播之二,,,
无泪,袁姗姗/韩栋,重播之二,,,
归零歌,邓青,重播之九,,,
一念向北,刘恺威,重播之九,,,
恋歌,何晟铭,重播之六,,,
恋歌,香香,重播之六,,,
说书人,小沈阳,重播之六,,,
心中的过往,刘恺威/李溪芮,重播之六,,,
英雄,何晟铭,重播之六,,,
恋香,郁可唯,重播之七,,,
上善若水,何晟铭,重播之七,,,
爱我,袁姗姗,重播之三,,,
爱与恨,刘恺威/杨蓉,重播之三,,,
大丈夫男子汉,韩磊,重播之三,,,
浩瀚,张杰,重播之三,,,
觉悟,袁姗姗,重播之三,,,
你我,陈妍希/陈晓,重播之三,,,
十六年,陈晓/刘忻,重播之三,,,
问世间,陈翔,重播之三,,,
逍遥,霍建华,重播之三,,,
用情山水,郁可唯,重播之三,,,
给妈妈的信,胡莎莎,重播之十,,,
其实很简单,铁热沁夫,重播之十,,,
燕儿飞,宋小宝/王一璠,重播之十,,,
不完整的存在,郁可唯,重播之十二,,,
带你走,陈翔,重播之十二,,,
骄傲与渺小,叶青,重播之十二,,,
天梯,张彬彬/李溪芮,重播之十二,,,
相爱恨晚,张磊,重播之十二,,,
与爱情无关,谭维维,重播之十二,,,
爱你没错,张信哲,重播之十三,,,
传世之爱,张韶涵,重播之十三,,,
汉之云,张云龙,重播之十三,,,
剑心,张杰,重播之十三,,,
两人行,陈伟霆,重播之十三,,,
夙念,郁可唯,重播之十三,,,
唐韵,谭晶,重播之十三,,,
为江山,孙楠,重播之十三,,,
为你成全,万茜/音频怪物,重播之十三,,,
一半,于朦胧,重播之十三,,,
远方,郁可唯,重播之十三,,,
Yes，I do,陈乔恩,重播之十一,,,
悲前喜剧,陈晓,重播之十一,,,
沉眠,白宇/杨蓉,重播之十一,,,
当爱来敲门,张碧晨,重播之十一,,,
暖人,张磊,重播之十一,,,
轻狂,陈翔,重播之十一,,,
月亮桥,曾缔,重播之十一,,,
抓紧我放弃我,金志文,重播之十一,,,
最爱的人,郁可唯,重播之十一,,,
路过爱情,梁又琳,重播之四,,,
如果爱老了,杨幂/刘恺威,重播之四,,,
一定要幸福,杨幂,重播之四,,,
彼岸花,何洁/苏醒,重播之五,,,
极光,毕书尽,重播之五,,,
绿罗裙,Angelababy,重播之五,,,
丝萝,李宇春,重播之五,,,
心情,陈晓/赵丽颖,重播之五,,,
云天外,杜淳,重播之五,,,
云天外,陆毅,重播之五,,,
珍惜,李宇春,重播之五,,,
追,香香,重播之五,,,
爱的供养,何晟铭 /向鹰,重播之一,,,
爱的供养,杨幂,重播之一,,,
